Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numerical_integral/0.0/3.14159/1000,1765,0,8,10.860522209644657,2.8019999990647193,128.95940000089468,8.0,9.83502173321008,0.0,8,11,13,14,19,25,36,50,90,130,130
,Aggregated,1765,0,8,10.860522209644657,2.8019999990647193,128.95940000089468,8.0,9.83502173321008,0.0,8,11,13,14,19,25,36,50,90,130,130
